档,uid,recognition_path,enrollment_path,ref,vanilla_text,vanilla_cer,max_sim,rec_sec,enroll_sec,难点类别,备注
1_死区CER>1,cmd_2471,E:\midea_target_asr\datasetA\pos\cmd_2471.wav,E:\midea_target_asr\datasetA\pos\kws_2471.wav,开防直吹,就我们的倾向交易事实,2.5,0.0877,2.36,1.58,,
1_死区CER>1,cmd_2630,E:\midea_target_asr\datasetA\pos\cmd_2630.wav,E:\midea_target_asr\datasetA\pos\kws_2630.wav,开左右风,是他们已经成功走出来,2.5,0.5666,2.15,1.92,,
1_死区CER>1,cmd_2040,E:\midea_target_asr\datasetA\pos\cmd_2040.wav,E:\midea_target_asr\datasetA\pos\kws_2040.wav,打开屏幕,中文字幕志愿者 李宗盛,2.25,0.15,1.74,1.84,,
1_死区CER>1,cmd_2837,E:\midea_target_asr\datasetA\pos\cmd_2837.wav,E:\midea_target_asr\datasetA\pos\kws_2837.wav,风速加大,彩电数上进行冲击下,2.25,0.4252,2.09,1.91,,
1_死区CER>1,cmd_2075,E:\midea_target_asr\datasetA\pos\cmd_2075.wav,E:\midea_target_asr\datasetA\pos\kws_2075.wav,把空调关上,出示微信出付的条件吗,2.0,0.4942,2.29,1.68,,
1_死区CER>1,cmd_2081,E:\midea_target_asr\datasetA\pos\cmd_2081.wav,E:\midea_target_asr\datasetA\pos\kws_2081.wav,风速调高,或销售手机的计划,2.0,0.3649,1.72,1.98,,
1_死区CER>1,cmd_2140,E:\midea_target_asr\datasetA\pos\cmd_2140.wav,E:\midea_target_asr\datasetA\pos\kws_2140.wav,低速风,自己主要图像,2.0,0.0656,1.57,1.83,,
1_死区CER>1,cmd_2341,E:\midea_target_asr\datasetA\pos\cmd_2341.wav,E:\midea_target_asr\datasetA\pos\kws_2341.wav,往上吹,我送你吃一块,2.0,0.0445,1.64,1.8,,
1_死区CER>1,cmd_2492,E:\midea_target_asr\datasetA\pos\cmd_2492.wav,E:\midea_target_asr\datasetA\pos\kws_2492.wav,开屏幕,我可以去找你,2.0,0.105,1.83,1.94,,
1_死区CER>1,cmd_2531,E:\midea_target_asr\datasetA\pos\cmd_2531.wav,E:\midea_target_asr\datasetA\pos\kws_2531.wav,播放磨剑少年,智慧建策家居展会办得更好,2.0,0.3051,2.53,2.2,,
1_死区CER>1,cmd_2539,E:\midea_target_asr\datasetA\pos\cmd_2539.wav,E:\midea_target_asr\datasetA\pos\kws_2539.wav,风往右吹,十四二十五后十八,2.0,0.2637,2.84,2.4,,
1_死区CER>1,cmd_2641,E:\midea_target_asr\datasetA\pos\cmd_2641.wav,E:\midea_target_asr\datasetA\pos\kws_2641.wav,打开显示屏,当初就已经开始成为很多,2.0,0.1742,2.61,1.8,,
1_死区CER>1,cmd_2858,E:\midea_target_asr\datasetA\pos\cmd_2858.wav,E:\midea_target_asr\datasetA\pos\kws_2858.wav,风速四十,自助及改善需求的,2.0,0.3343,1.84,2.13,,
1_死区CER>1,cmd_2961,E:\midea_target_asr\datasetA\pos\cmd_2961.wav,E:\midea_target_asr\datasetA\pos\kws_2961.wav,关闭屏幕,不通会被草变红色,2.0,0.2078,1.99,1.74,,
1_死区CER>1,cmd_2152,E:\midea_target_asr\datasetA\pos\cmd_2152.wav,E:\midea_target_asr\datasetA\pos\kws_2152.wav,开启除湿模式,飞机改进改型和市场推广,1.8333,0.2641,2.95,2.06,,
1_死区CER>1,cmd_2151,E:\midea_target_asr\datasetA\pos\cmd_2151.wav,E:\midea_target_asr\datasetA\pos\kws_2151.wav,开到十八度,也弱化了三星的优势,1.8,0.3824,1.91,2.05,,
1_死区CER>1,cmd_2186,E:\midea_target_asr\datasetA\pos\cmd_2186.wav,E:\midea_target_asr\datasetA\pos\kws_2186.wav,开启智清洁,与小朋友玩的不一样,1.8,0.1719,2.14,1.8,,
1_死区CER>1,cmd_2723,E:\midea_target_asr\datasetA\pos\cmd_2723.wav,E:\midea_target_asr\datasetA\pos\kws_2723.wav,温度十八度,成为大家心中的女生,1.8,0.1482,1.77,2.05,,
1_死区CER>1,cmd_2951,E:\midea_target_asr\datasetA\pos\cmd_2951.wav,E:\midea_target_asr\datasetA\pos\kws_2951.wav,风速九十,五星妆 土鞋 大面,1.75,0.1155,1.66,2.74,,
1_死区CER>1,cmd_2999,E:\midea_target_asr\datasetA\pos\cmd_2999.wav,E:\midea_target_asr\datasetA\pos\kws_2999.wav,风量调小,我以為你來找我,1.75,0.2922,1.59,2.13,,
1_死区CER>1,cmd_2120,E:\midea_target_asr\datasetA\pos\cmd_2120.wav,E:\midea_target_asr\datasetA\pos\kws_2120.wav,儿童不能吃什么,柯林给我们带来了家里的香,1.7143,0.2234,2.71,2.17,,
1_死区CER>1,cmd_205,E:\midea_target_asr\datasetA\pos\cmd_205.wav,E:\midea_target_asr\datasetA\pos\kws_205.wav,关窗帘,外面穿着脸,1.6667,0.3806,1.74,1.5,,
1_死区CER>1,cmd_2275,E:\midea_target_asr\datasetA\pos\cmd_2275.wav,E:\midea_target_asr\datasetA\pos\kws_2275.wav,风速十,越明顯回升,1.6667,0.2368,1.89,2.03,,
1_死区CER>1,cmd_329,E:\midea_target_asr\datasetA\pos\cmd_329.wav,E:\midea_target_asr\datasetA\pos\kws_329.wav,打开氛围灯,打开Foreader,1.6,0.358,1.75,1.5,,
1_死区CER>1,cmd_2090,E:\midea_target_asr\datasetA\pos\cmd_2090.wav,E:\midea_target_asr\datasetA\pos\kws_2090.wav,播放童音版唐诗,前一段時間因為正在製造,1.5714,0.111,2.97,2.29,,
1_死区CER>1,cmd_2476,E:\midea_target_asr\datasetA\pos\cmd_2476.wav,E:\midea_target_asr\datasetA\pos\kws_2476.wav,播放费烟的民谣,但有一天晚上他們在睡覺,1.5714,0.1539,2.44,1.79,,
1_死区CER>1,cmd_2556,E:\midea_target_asr\datasetA\pos\cmd_2556.wav,E:\midea_target_asr\datasetA\pos\kws_2556.wav,讲个名人故事吧,递交了上市后首分成鸡蛋,1.5714,0.3254,3.0,3.5,,
1_死区CER>1,cmd_2589,E:\midea_target_asr\datasetA\pos\cmd_2589.wav,E:\midea_target_asr\datasetA\pos\kws_2589.wav,补血推荐吃哪些食物,不许在家学习他是一个八岁男孩,1.5556,0.2874,4.03,1.72,,
1_死区CER>1,cmd_2057,E:\midea_target_asr\datasetA\pos\cmd_2057.wav,E:\midea_target_asr\datasetA\pos\kws_2057.wav,减小风量,全面放开二海,1.5,0.3072,2.07,1.89,,
1_死区CER>1,cmd_2128,E:\midea_target_asr\datasetA\pos\cmd_2128.wav,E:\midea_target_asr\datasetA\pos\kws_2128.wav,风小一点,就是小孩艺人员,1.5,0.4306,2.12,2.13,,
1_死区CER>1,cmd_2160,E:\midea_target_asr\datasetA\pos\cmd_2160.wav,E:\midea_target_asr\datasetA\pos\kws_2160.wav,开下空调,我先回歸 北线空调,1.5,0.0927,2.02,1.95,,
1_死区CER>1,cmd_2256,E:\midea_target_asr\datasetA\pos\cmd_2256.wav,E:\midea_target_asr\datasetA\pos\kws_2256.wav,左右摆动,不能要求退款,1.5,0.3946,2.17,1.39,,
1_死区CER>1,cmd_2305,E:\midea_target_asr\datasetA\pos\cmd_2305.wav,E:\midea_target_asr\datasetA\pos\kws_2305.wav,启动制热模式,机器人的还是不太多,1.5,0.1129,2.39,1.51,,
1_死区CER>1,cmd_2328,E:\midea_target_asr\datasetA\pos\cmd_2328.wav,E:\midea_target_asr\datasetA\pos\kws_2328.wav,风向左吹,这样出现反谈,1.5,0.2244,1.84,1.74,,
1_死区CER>1,cmd_2333,E:\midea_target_asr\datasetA\pos\cmd_2333.wav,E:\midea_target_asr\datasetA\pos\kws_2333.wav,空调二十一度,輸給美國之後實際上,1.5,0.1952,2.01,2.26,,
1_死区CER>1,cmd_2334,E:\midea_target_asr\datasetA\pos\cmd_2334.wav,E:\midea_target_asr\datasetA\pos\kws_2334.wav,风往右吹,方法力的実態,1.5,0.23,2.02,2.17,,
1_死区CER>1,cmd_2459,E:\midea_target_asr\datasetA\pos\cmd_2459.wav,E:\midea_target_asr\datasetA\pos\kws_2459.wav,风速调高,防腐能力牵挂,1.5,0.2469,1.63,1.52,,
1_死区CER>1,cmd_2590,E:\midea_target_asr\datasetA\pos\cmd_2590.wav,E:\midea_target_asr\datasetA\pos\kws_2590.wav,风速减小,储备自己适合,1.5,0.1356,2.68,1.91,,
1_死区CER>1,cmd_2697,E:\midea_target_asr\datasetA\pos\cmd_2697.wav,E:\midea_target_asr\datasetA\pos\kws_2697.wav,风大一点,具備這個指標,1.5,0.3095,2.95,1.83,,
1_死区CER>1,cmd_2733,E:\midea_target_asr\datasetA\pos\cmd_2733.wav,E:\midea_target_asr\datasetA\pos\kws_2733.wav,风速一百,公共服務中心,1.5,0.0885,1.73,1.71,,
1_死区CER>1,cmd_2823,E:\midea_target_asr\datasetA\pos\cmd_2823.wav,E:\midea_target_asr\datasetA\pos\kws_2823.wav,黑发哪些食物需要忌口,生产全系列半导体新式产品的企业,1.5,0.3636,3.24,2.09,,
1_死区CER>1,cmd_2830,E:\midea_target_asr\datasetA\pos\cmd_2830.wav,E:\midea_target_asr\datasetA\pos\kws_2830.wav,风速八十,232323,1.5,0.5031,2.46,2.29,,
1_死区CER>1,cmd_2865,E:\midea_target_asr\datasetA\pos\cmd_2865.wav,E:\midea_target_asr\datasetA\pos\kws_2865.wav,风向右吹,我不是在那邊,1.5,0.374,1.6,1.92,,
1_死区CER>1,cmd_2493,E:\midea_target_asr\datasetA\pos\cmd_2493.wav,E:\midea_target_asr\datasetA\pos\kws_2493.wav,科技美学我想听,和项目也不多内和公开,1.4286,0.2313,2.98,3.14,,
1_死区CER>1,cmd_2017,E:\midea_target_asr\datasetA\pos\cmd_2017.wav,E:\midea_target_asr\datasetA\pos\kws_2017.wav,空调二十度,心碘肚子有什麼,1.4,0.1815,1.77,2.35,,
1_死区CER>1,cmd_2018,E:\midea_target_asr\datasetA\pos\cmd_2018.wav,E:\midea_target_asr\datasetA\pos\kws_2018.wav,关掉智控温,完全不负责任的,1.4,0.4806,2.37,2.26,,
1_死区CER>1,cmd_2200,E:\midea_target_asr\datasetA\pos\cmd_2200.wav,E:\midea_target_asr\datasetA\pos\kws_2200.wav,关闭显示屏,企业的成本约束,1.4,0.3848,1.89,1.59,,
1_死区CER>1,cmd_2659,E:\midea_target_asr\datasetA\pos\cmd_2659.wav,E:\midea_target_asr\datasetA\pos\kws_2659.wav,空调十八度,内定间纯手参赛,1.4,0.5836,1.73,2.27,,
1_死区CER>1,cmd_2766,E:\midea_target_asr\datasetA\pos\cmd_2766.wav,E:\midea_target_asr\datasetA\pos\kws_2766.wav,播放苦命人,中国将希望反映,1.4,0.4869,2.4,1.57,,
1_死区CER>1,cmd_2921,E:\midea_target_asr\datasetA\pos\cmd_2921.wav,E:\midea_target_asr\datasetA\pos\kws_2921.wav,播放白玉京,签订的释发合同,1.4,0.412,2.3,1.84,,
1_死区CER>1,cmd_2400,E:\midea_target_asr\datasetA\pos\cmd_2400.wav,E:\midea_target_asr\datasetA\pos\kws_2400.wav,播放正能量纯音乐,还求联系给个萨丝的手脚,1.375,0.3427,3.47,3.79,,
1_死区CER>1,cmd_2577,E:\midea_target_asr\datasetA\pos\cmd_2577.wav,E:\midea_target_asr\datasetA\pos\kws_2577.wav,把温度调到十七度,把温宿的挑战出现在保单前列,1.375,0.1965,3.0,2.7,,
1_死区CER>1,cmd_64,E:\midea_target_asr\datasetA\pos\cmd_64.wav,E:\midea_target_asr\datasetA\pos\kws_64.wav,取消勃朗烤箱,去一下國藍跑一下,1.3333,0.1301,2.06,1.5,,
1_死区CER>1,cmd_2355,E:\midea_target_asr\datasetA\pos\cmd_2355.wav,E:\midea_target_asr\datasetA\pos\kws_2355.wav,播放恐龙大陆,基金的重视无法规大陆,1.3333,0.0888,3.12,2.01,,
1_死区CER>1,cmd_2559,E:\midea_target_asr\datasetA\pos\cmd_2559.wav,E:\midea_target_asr\datasetA\pos\kws_2559.wav,护发吃什么好,你往西江在全國排,1.3333,0.278,2.23,2.21,,
1_死区CER>1,cmd_2607,E:\midea_target_asr\datasetA\pos\cmd_2607.wav,E:\midea_target_asr\datasetA\pos\kws_2607.wav,调到送风模式,76524369,1.3333,0.5393,2.54,1.45,,
1_死区CER>1,cmd_2619,E:\midea_target_asr\datasetA\pos\cmd_2619.wav,E:\midea_target_asr\datasetA\pos\kws_2619.wav,开屏幕,所以我们,1.3333,0.301,1.46,3.85,,
1_死区CER>1,cmd_2632,E:\midea_target_asr\datasetA\pos\cmd_2632.wav,E:\midea_target_asr\datasetA\pos\kws_2632.wav,关闭省电模式,不会毕日行业增长,1.3333,0.1978,2.51,1.75,,
1_死区CER>1,cmd_2639,E:\midea_target_asr\datasetA\pos\cmd_2639.wav,E:\midea_target_asr\datasetA\pos\kws_2639.wav,吃什么适合慢性疲劳,这些机构可能面临法律风险,1.3333,0.3055,4.1,2.01,,
1_死区CER>1,cmd_2691,E:\midea_target_asr\datasetA\pos\cmd_2691.wav,E:\midea_target_asr\datasetA\pos\kws_2691.wav,护发吃什么好,五号自宅的奥运会,1.3333,0.1397,2.46,1.71,,
1_死区CER>1,cmd_2824,E:\midea_target_asr\datasetA\pos\cmd_2824.wav,E:\midea_target_asr\datasetA\pos\kws_2824.wav,关屏显,我好朋友,1.3333,0.2228,1.57,1.7,,
1_死区CER>1,cmd_2000,E:\midea_target_asr\datasetA\pos\cmd_2000.wav,E:\midea_target_asr\datasetA\pos\kws_2000.wav,播放盖世音雄原创音乐,劇必會激壓產業經濟發展空間,1.3,0.0964,4.08,2.65,,
1_死区CER>1,cmd_2427,E:\midea_target_asr\datasetA\pos\cmd_2427.wav,E:\midea_target_asr\datasetA\pos\kws_2427.wav,吃什么可以补铁,你的外國說 13比6,1.2857,0.3165,2.31,2.99,,
1_死区CER>1,cmd_2482,E:\midea_target_asr\datasetA\pos\cmd_2482.wav,E:\midea_target_asr\datasetA\pos\kws_2482.wav,腹泻适宜吃什么,面积同比上涨45%,1.2857,0.4381,2.76,1.84,,
1_死区CER>1,cmd_2648,E:\midea_target_asr\datasetA\pos\cmd_2648.wav,E:\midea_target_asr\datasetA\pos\kws_2648.wav,播放偶像电话亭,看起以我玩意的辨迹,1.2857,0.1496,3.18,1.87,,
1_死区CER>1,cmd_2721,E:\midea_target_asr\datasetA\pos\cmd_2721.wav,E:\midea_target_asr\datasetA\pos\kws_2721.wav,播放姚晴曦阅读,让你的散户胀压更高,1.2857,0.3191,3.01,1.58,,
1_死区CER>1,cmd_2913,E:\midea_target_asr\datasetA\pos\cmd_2913.wav,E:\midea_target_asr\datasetA\pos\kws_2913.wav,打开ECO模式,风之圣寒人物有什么,1.2857,0.1471,2.34,1.9,,
1_死区CER>1,cmd_2037,E:\midea_target_asr\datasetA\pos\cmd_2037.wav,E:\midea_target_asr\datasetA\pos\kws_2037.wav,风速二十,是不是很像,1.25,0.2807,1.89,2.01,,
1_死区CER>1,cmd_2115,E:\midea_target_asr\datasetA\pos\cmd_2115.wav,E:\midea_target_asr\datasetA\pos\kws_2115.wav,播放鬼畜洗脑神曲,會變得進入2015年,1.25,0.4249,2.56,1.69,,
1_死区CER>1,cmd_2183,E:\midea_target_asr\datasetA\pos\cmd_2183.wav,E:\midea_target_asr\datasetA\pos\kws_2183.wav,播放伟人,因为我们在,1.25,0.1792,2.16,2.12,,
1_死区CER>1,cmd_2191,E:\midea_target_asr\datasetA\pos\cmd_2191.wav,E:\midea_target_asr\datasetA\pos\kws_2191.wav,打开冷风,有什麼周會,1.25,0.3336,1.8,1.69,,
1_死区CER>1,cmd_2287,E:\midea_target_asr\datasetA\pos\cmd_2287.wav,E:\midea_target_asr\datasetA\pos\kws_2287.wav,关掉睡眠,我倒是一秒,1.25,0.3615,1.77,1.76,,
1_死区CER>1,cmd_2303,E:\midea_target_asr\datasetA\pos\cmd_2303.wav,E:\midea_target_asr\datasetA\pos\kws_2303.wav,播放专注,庆祝祭举军,1.25,0.246,2.07,1.95,,
1_死区CER>1,cmd_2327,E:\midea_target_asr\datasetA\pos\cmd_2327.wav,E:\midea_target_asr\datasetA\pos\kws_2327.wav,降低温度,我叫你女兒,1.25,0.1574,1.53,2.58,,
1_死区CER>1,cmd_2338,E:\midea_target_asr\datasetA\pos\cmd_2338.wav,E:\midea_target_asr\datasetA\pos\kws_2338.wav,关闭屏幕,欢迎你评论,1.25,0.2712,1.86,1.98,,
1_死区CER>1,cmd_2483,E:\midea_target_asr\datasetA\pos\cmd_2483.wav,E:\midea_target_asr\datasetA\pos\kws_2483.wav,风量最大,我這樣吃一大,1.25,0.176,1.6,2.04,,
1_死区CER>1,cmd_2527,E:\midea_target_asr\datasetA\pos\cmd_2527.wav,E:\midea_target_asr\datasetA\pos\kws_2527.wav,最大风量,可以打算了,1.25,0.2415,2.33,1.78,,
1_死区CER>1,cmd_2604,E:\midea_target_asr\datasetA\pos\cmd_2604.wav,E:\midea_target_asr\datasetA\pos\kws_2604.wav,关闭屏幕,我可以跟妳,1.25,0.2404,1.75,2.01,,
1_死区CER>1,cmd_2637,E:\midea_target_asr\datasetA\pos\cmd_2637.wav,E:\midea_target_asr\datasetA\pos\kws_2637.wav,哺乳期要少吃什么,就已经进行过一轮教育,1.25,0.5853,2.48,2.85,,
1_死区CER>1,cmd_2734,E:\midea_target_asr\datasetA\pos\cmd_2734.wav,E:\midea_target_asr\datasetA\pos\kws_2734.wav,开机空调,"4,692",1.25,0.1275,1.73,1.77,,
1_死区CER>1,cmd_2790,E:\midea_target_asr\datasetA\pos\cmd_2790.wav,E:\midea_target_asr\datasetA\pos\kws_2790.wav,开下空调,反正是有趣,1.25,0.0905,1.48,1.59,,
1_死区CER>1,cmd_2942,E:\midea_target_asr\datasetA\pos\cmd_2942.wav,E:\midea_target_asr\datasetA\pos\kws_2942.wav,开防直吹,51分完赛,1.25,0.605,2.15,2.55,,
1_死区CER>1,cmd_2651,E:\midea_target_asr\datasetA\pos\cmd_2651.wav,E:\midea_target_asr\datasetA\pos\kws_2651.wav,播放鹅妈妈童谣黄本,防企会积极调整推翻节奏,1.2222,0.3225,3.85,2.0,,
1_死区CER>1,cmd_2732,E:\midea_target_asr\datasetA\pos\cmd_2732.wav,E:\midea_target_asr\datasetA\pos\kws_2732.wav,播放美国语文第四册,我们经常会杀到阿非生物,1.2222,0.2559,3.68,1.3,,
1_死区CER>1,cmd_2968,E:\midea_target_asr\datasetA\pos\cmd_2968.wav,E:\midea_target_asr\datasetA\pos\kws_2968.wav,吃什么适合慢性疲劳,分別受到免食和清食處理,1.2222,0.1359,3.5,1.57,,
1_死区CER>1,cmd_2047,E:\midea_target_asr\datasetA\pos\cmd_2047.wav,E:\midea_target_asr\datasetA\pos\kws_2047.wav,开到二十度,依然居在日本,1.2,0.3207,2.11,1.78,,
1_死区CER>1,cmd_2071,E:\midea_target_asr\datasetA\pos\cmd_2071.wav,E:\midea_target_asr\datasetA\pos\kws_2071.wav,ECO模式,你自己无吗是,1.2,0.2625,1.66,2.32,,
1_死区CER>1,cmd_2370,E:\midea_target_asr\datasetA\pos\cmd_2370.wav,E:\midea_target_asr\datasetA\pos\kws_2370.wav,把空调关上,到了歷史最高,1.2,0.3968,2.67,1.94,,
1_死区CER>1,cmd_2491,E:\midea_target_asr\datasetA\pos\cmd_2491.wav,E:\midea_target_asr\datasetA\pos\kws_2491.wav,把空调关闭,把副作公立给了,1.2,0.1945,1.64,2.45,,
1_死区CER>1,cmd_2495,E:\midea_target_asr\datasetA\pos\cmd_2495.wav,E:\midea_target_asr\datasetA\pos\kws_2495.wav,播放温妮女巫魔法绘本,对于数量风浪的流手而同情,1.2,0.3057,3.19,1.79,,
1_死区CER>1,cmd_2552,E:\midea_target_asr\datasetA\pos\cmd_2552.wav,E:\midea_target_asr\datasetA\pos\kws_2552.wav,开启无风感,可以吃布粉干,1.2,0.1814,3.38,1.72,,
1_死区CER>1,cmd_2587,E:\midea_target_asr\datasetA\pos\cmd_2587.wav,E:\midea_target_asr\datasetA\pos\kws_2587.wav,把空调关上,漢州市的中學,1.2,0.2905,2.14,1.98,,
1_死区CER>1,cmd_2930,E:\midea_target_asr\datasetA\pos\cmd_2930.wav,E:\midea_target_asr\datasetA\pos\kws_2930.wav,开到十九度,我吃的是几桌,1.2,0.3716,1.67,2.34,,
1_死区CER>1,cmd_2380,E:\midea_target_asr\datasetA\pos\cmd_2380.wav,E:\midea_target_asr\datasetA\pos\kws_2380.wav,播放原声大碟欢乐好声音,我们有重复的使命搜狐娱乐性,1.1818,0.1581,3.78,1.85,,
1_死区CER>1,cmd_2730,E:\midea_target_asr\datasetA\pos\cmd_2730.wav,E:\midea_target_asr\datasetA\pos\kws_2730.wav,播放育儿早教纯干货分享,公募基金管理人可以参与投资,1.1818,0.3789,4.59,2.54,,
1_死区CER>1,cmd_316,E:\midea_target_asr\datasetA\pos\cmd_316.wav,E:\midea_target_asr\datasetA\pos\kws_316.wav,打开全部空调,大概是要付款票,1.1667,0.2411,2.22,1.5,,
1_死区CER>1,cmd_2122,E:\midea_target_asr\datasetA\pos\cmd_2122.wav,E:\midea_target_asr\datasetA\pos\kws_2122.wav,风向调到下边,谢谢你们效果会,1.1667,0.2565,3.4,2.19,,
1_死区CER>1,cmd_2302,E:\midea_target_asr\datasetA\pos\cmd_2302.wav,E:\midea_target_asr\datasetA\pos\kws_2302.wav,给我放桃花诺,也一直有自己的,1.1667,0.5122,2.44,1.67,,
1_死区CER>1,cmd_2602,E:\midea_target_asr\datasetA\pos\cmd_2602.wav,E:\midea_target_asr\datasetA\pos\kws_2602.wav,播放小飞鱼二,开发投资3亿元,1.1667,0.4167,2.31,1.89,,
1_死区CER>1,cmd_2603,E:\midea_target_asr\datasetA\pos\cmd_2603.wav,E:\midea_target_asr\datasetA\pos\kws_2603.wav,开到二十二度,看到22投資出現,1.1667,0.2682,1.84,1.91,,
1_死区CER>1,cmd_2640,E:\midea_target_asr\datasetA\pos\cmd_2640.wav,E:\midea_target_asr\datasetA\pos\kws_2640.wav,打开睡眠模式,你找本 有什么事,1.1667,0.1149,2.29,2.25,,
1_死区CER>1,cmd_2705,E:\midea_target_asr\datasetA\pos\cmd_2705.wav,E:\midea_target_asr\datasetA\pos\kws_2705.wav,风速调大一点,所以大约590,1.1667,0.3075,2.68,2.38,,
1_死区CER>1,cmd_2791,E:\midea_target_asr\datasetA\pos\cmd_2791.wav,E:\midea_target_asr\datasetA\pos\kws_2791.wav,开到二十三度,再度被关注画到,1.1667,0.0746,3.31,2.5,,
1_死区CER>1,cmd_2424,E:\midea_target_asr\datasetA\pos\cmd_2424.wav,E:\midea_target_asr\datasetA\pos\kws_2424.wav,打开ECO模式,我们就要把你看的,1.1429,0.2783,2.22,1.96,,
