集,utt_id,id,唤醒音频,唤醒文本,识别音频,ground_truth,模型输出,sim,是否拒识,llm_verdict,噪声类型,CER,正确
POS,utt0128_cmd_128,128,pos/kws_128.wav,你好科慕,pos/cmd_128.wav,关闭窗帘客厅的灯调为暖色空调二十四度最低风速,关闭窗帘客厅的灯调热暖色空调二十四度最低风速,0.3836,False,,babble,0.0455,✓
POS,utt0129_cmd_129,129,pos/kws_129.wav,你好科慕,pos/cmd_129.wav,空调是什么模式现在,空调是什么模式现在,0.5682,False,,babble,0.0,✓
POS,utt0130_cmd_130,130,pos/kws_130.wav,hi colmo,pos/cmd_130.wav,洗衣模式,,0.1717,True,,babble,1.0,✗
POS,utt0131_cmd_131,131,pos/kws_131.wav,hi colmo,pos/cmd_131.wav,打开洗护一体机的门,,0.187,True,,babble,1.0,✗
POS,utt0132_cmd_132,132,pos/kws_132.wav,hi colmo,pos/cmd_132.wav,灯光调亮冷色调,,0.1578,True,,babble,1.0,✗
POS,utt0133_cmd_133,133,pos/kws_133.wav,你好科慕,pos/cmd_133.wav,窗帘调整角度到七十度,窗帘调整角度到七十度,0.5868,False,,babble,0.0,✓
POS,utt0134_cmd_134,134,pos/kws_134.wav,hi colmo,pos/cmd_134.wav,我要做饭了小布吗,我要做饭了 需要补吗,0.3889,False,,babble,0.5,✗
POS,utt0135_cmd_135,135,pos/kws_135.wav,你好科慕,pos/cmd_135.wav,灯的色温调到最暖,灯的色温调到最暖,0.501,False,,babble,0.0,✓
POS,utt0136_cmd_136,136,pos/kws_136.wav,hi colmo,pos/cmd_136.wav,开启烹饪模式,开启烹饪模式,0.6017,False,,babble,0.0,✓
POS,utt0137_cmd_137,137,pos/kws_137.wav,你好科慕,pos/cmd_137.wav,打开空调打开窗帘关闭灯,"打开空调,打开窗帘,关闭灯",0.565,False,,babble,0.1818,✓
POS,utt0138_cmd_138,138,pos/kws_138.wav,你好科慕,pos/cmd_138.wav,关闭电视,关闭电视,0.4084,False,,babble,0.0,✓
POS,utt0139_cmd_139,139,pos/kws_139.wav,你好科慕,pos/cmd_139.wav,帮我策划四天去韩国首尔的旅游,帮我策划四天去韩国收入的旅游,0.4312,False,,babble,0.1429,✓
POS,utt0140_cmd_140,140,pos/kws_140.wav,hi colmo,pos/cmd_140.wav,打开冰箱,,0.2229,True,,babble,1.0,✗
POS,utt0141_cmd_141,141,pos/kws_141.wav,hi colmo,pos/cmd_141.wav,关闭新建空调,关闭星象空调,0.4179,False,,babble,0.3333,✓
POS,utt0142_cmd_142,142,pos/kws_142.wav,hi colmo,pos/cmd_142.wav,窗帘下架,双维下降,0.3085,False,,babble,0.75,✗
POS,utt0143_cmd_143,143,pos/kws_143.wav,hi colmo,pos/cmd_143.wav,关闭洗衣模式关闭新风模式,关闭洗衣博士关闭心风博士,0.317,False,,babble,0.4167,✓
POS,utt0144_cmd_144,144,pos/kws_144.wav,hi colmo,pos/cmd_144.wav,退下吧,退下吧,0.3747,False,,babble,0.0,✓
POS,utt0145_cmd_145,145,pos/kws_145.wav,hi colmo,pos/cmd_145.wav,灯光亮度调百分之八十,灯光亮度百分之八十,0.5062,False,,babble,0.1,✓
POS,utt0146_cmd_146,146,pos/kws_146.wav,hi colmo,pos/cmd_146.wav,打开观影模式,大概不及了,0.5,False,,babble,1.0,✗
POS,utt0147_cmd_147,147,pos/kws_147.wav,hi colmo,pos/cmd_147.wav,灯光调到百分之八十,灯光调百分之八十,0.4209,False,,babble,0.1111,✓
POS,utt0148_cmd_148,148,pos/kws_148.wav,hi colmo,pos/cmd_148.wav,关闭抽油烟机,关闭抽油烟机,0.5279,False,,babble,0.0,✓
POS,utt0149_cmd_149,149,pos/kws_149.wav,hi colmo,pos/cmd_149.wav,灯的亮度调到五千,"灯的亮度调到五,零",0.4877,False,,babble,0.25,✓
POS,utt0150_cmd_150,150,pos/kws_150.wav,hi colmo,pos/cmd_150.wav,打开灯,打开灯,0.3945,False,,babble,0.0,✓
POS,utt0151_cmd_151,151,pos/kws_151.wav,hi colmo,pos/cmd_151.wav,我要轻干洗,我要清干洗,0.5245,False,,babble,0.2,✓
POS,utt0152_cmd_152,152,pos/kws_152.wav,你好科慕,pos/cmd_152.wav,客厅的灯调到五千K,我个体的真正调到5000K,0.3288,False,,babble,1.0,✗
POS,utt0153_cmd_153,153,pos/kws_153.wav,hi colmo,pos/cmd_153.wav,帮我放一首,,0.1113,True,,babble,1.0,✗
POS,utt0154_cmd_154,154,pos/kws_154.wav,hi colmo,pos/cmd_154.wav,智慧屏怎么先关机,智慧屏怎么先关机,0.4681,False,,babble,0.0,✓
POS,utt0155_cmd_155,155,pos/kws_155.wav,你好科慕,pos/cmd_155.wav,我要出去了,我要出去了,0.5169,False,,babble,0.0,✓
POS,utt0156_cmd_156,156,pos/kws_156.wav,hi colmo,pos/cmd_156.wav,我吃完了,我吃完了,0.4026,False,,babble,0.0,✓
POS,utt0157_cmd_157,157,pos/kws_157.wav,hi colmo,pos/cmd_157.wav,打开油烟机打开洗衣机桶打开新风,打开油烟机打开洗衣机桶打开新风,0.3827,False,,babble,0.0,✓
POS,utt0158_cmd_158,158,pos/kws_158.wav,hi colmo,pos/cmd_158.wav,打开所有灯,打开所有灯,0.3816,False,,babble,0.0,✓
POS,utt0159_cmd_159,159,pos/kws_159.wav,hi colmo,pos/cmd_159.wav,帮我预约明天九点前衬衫的AI净干洗,,0.2673,True,,babble,1.0,✗
POS,utt0160_cmd_160,160,pos/kws_160.wav,你好科慕,pos/cmd_160.wav,我要看电影了,我要看电影了,0.4192,False,,white,0.0,✓
POS,utt0161_cmd_161,161,pos/kws_161.wav,你好科慕,pos/cmd_161.wav,窗帘叶片角度调整到六十度,窗帘椰片角度调整到六十度,0.5652,False,,babble,0.0833,✓
POS,utt0162_cmd_162,162,pos/kws_162.wav,hi colmo,pos/cmd_162.wav,打开所有空调,打开所有空调,0.506,False,,pink,0.0,✓
POS,utt0163_cmd_163,163,pos/kws_163.wav,你好科慕,pos/cmd_163.wav,呃把所有灯光打开,把所有的灯光打开,0.6309,False,,babble,0.25,✓
POS,utt0164_cmd_164,164,pos/kws_164.wav,你好科慕,pos/cmd_164.wav,帮我策划三天深圳旅游的行程,帮我策划三天深圳旅游的行程,0.4897,False,,babble,0.0,✓
POS,utt0165_cmd_165,165,pos/kws_165.wav,hi colmo,pos/cmd_165.wav,我准备做饭啦,我准备做饭了,0.5474,False,,babble,0.1667,✓
POS,utt0166_cmd_166,166,pos/kws_166.wav,hi colmo,pos/cmd_166.wav,打开洗烘套装,,0.1778,True,,babble,1.0,✗
