集,id,唤醒音频,唤醒文本,识别音频,识别文本
POS,35,pos/kws_35.wav,你好科慕,pos/cmd_35.wav,关掉音乐
POS,36,pos/kws_36.wav,hi colmo,pos/cmd_36.wav,开启客厅灯光
POS,37,pos/kws_37.wav,hi colmo,pos/cmd_37.wav,嗯打开油烟机
POS,38,pos/kws_38.wav,hi colmo,pos/cmd_38.wav,我要做饭了然后它就自动降下
POS,39,pos/kws_39.wav,hi colmo,pos/cmd_39.wav,打开客厅空调
POS,40,pos/kws_40.wav,hi colmo,pos/cmd_40.wav,关闭氛围灯
POS,41,pos/kws_41.wav,hi colmo,pos/cmd_41.wav,室内有点暗调亮一点
POS,42,pos/kws_42.wav,hi colmo,pos/cmd_42.wav,帮我预约十四点
POS,43,pos/kws_43.wav,hi colmo,pos/cmd_43.wav,灯光有点暗
POS,44,pos/kws_44.wav,hi colmo,pos/cmd_44.wav,我想看电影
POS,45,pos/kws_45.wav,hi colmo,pos/cmd_45.wav,关闭纱帘
POS,46,pos/kws_46.wav,你好科慕,pos/cmd_46.wav,放周杰伦的歌
POS,47,pos/kws_47.wav,hi colmo,pos/cmd_47.wav,把空调温度调到二十八度
POS,48,pos/kws_48.wav,hi colmo,pos/cmd_48.wav,灯光亮度调到最高
POS,49,pos/kws_49.wav,hi colmo,pos/cmd_49.wav,烟机下降
POS,50,pos/kws_50.wav,你好科慕,pos/cmd_50.wav,灯的色温调到五千
POS,51,pos/kws_51.wav,hi colmo,pos/cmd_51.wav,你好科慕你好科慕
POS,52,pos/kws_52.wav,你好科慕,pos/cmd_52.wav,空调换气
POS,53,pos/kws_53.wav,你好科慕,pos/cmd_53.wav,权志龙最新的歌专辑叫什么名字
POS,54,pos/kws_54.wav,hi colmo,pos/cmd_54.wav,我要吃饭
POS,55,pos/kws_55.wav,hi colmo,pos/cmd_55.wav,打开烟机打开洗衣模式打开新风模式
POS,56,pos/kws_56.wav,hi colmo,pos/cmd_56.wav,羊绒大衣要怎么洗
POS,57,pos/kws_57.wav,hi colmo,pos/cmd_57.wav,空调调为十二度
POS,58,pos/kws_58.wav,hi colmo,pos/cmd_58.wav,我要休息我要睡觉了
POS,59,pos/kws_59.wav,hi colmo,pos/cmd_59.wav,关闭顶灯
POS,60,pos/kws_60.wav,hi colmo,pos/cmd_60.wav,打开chatgpt
POS,61,pos/kws_61.wav,你好科慕,pos/cmd_61.wav,打开客厅空调温度调整到二十三最低风速打开窗帘
POS,62,pos/kws_62.wav,hi colmo,pos/cmd_62.wav,风速最低
POS,63,pos/kws_63.wav,hi colmo,pos/cmd_63.wav,所有灯光打开
POS,64,pos/kws_64.wav,你好科慕,pos/cmd_64.wav,取消勃朗烤箱
POS,65,pos/kws_65.wav,hi colmo,pos/cmd_65.wav,我回家啦
POS,66,pos/kws_66.wav,hi colmo,pos/cmd_66.wav,油烟机打开
POS,67,pos/kws_67.wav,hi colmo,pos/cmd_67.wav,备餐模式
POS,68,pos/kws_68.wav,hi colmo,pos/cmd_68.wav,嵌入式饮水机
POS,69,pos/kws_69.wav,hi colmo,pos/cmd_69.wav,恢复
POS,70,pos/kws_70.wav,hi colmo,pos/cmd_70.wav,我要用餐了
POS,71,pos/kws_71.wav,你好科慕,pos/cmd_71.wav,把所有灯光调到亮度调到百分之一百
POS,72,pos/kws_72.wav,hi colmo,pos/cmd_72.wav,关闭冰箱
POS,73,pos/kws_73.wav,hi colmo,pos/cmd_73.wav,关掉油烟机
POS,74,pos/kws_74.wav,你好科慕,pos/cmd_74.wav,灯的色温调暖一点空调温度调低一点关闭窗帘
POS,75,pos/kws_75.wav,hi colmo,pos/cmd_75.wav,哎这个怎么没通电哈
POS,76,pos/kws_76.wav,你好科慕,pos/cmd_76.wav,打开客厅所有灯
POS,77,pos/kws_77.wav,hi colmo,pos/cmd_77.wav,打开厨房
POS,78,pos/kws_78.wav,hi colmo,pos/cmd_78.wav,我要吃饭了啊不对
POS,79,pos/kws_79.wav,hi colmo,pos/cmd_79.wav,关掉客厅灯光
POS,80,pos/kws_80.wav,你好科慕,pos/cmd_80.wav,打开唯一唤醒
POS,81,pos/kws_81.wav,你好科慕,pos/cmd_81.wav,声音大一点
POS,82,pos/kws_82.wav,hi colmo,pos/cmd_82.wav,恢复日常模式
POS,83,pos/kws_83.wav,hi colmo,pos/cmd_83.wav,关掉客厅的灯
POS,84,pos/kws_84.wav,hi colmo,pos/cmd_84.wav,室内有点暗调亮一点然后把窗帘开到最大
POS,85,pos/kws_85.wav,hi colmo,pos/cmd_85.wav,取消闹钟
POS,86,pos/kws_86.wav,你好科慕,pos/cmd_86.wav,怎么打开无风感
POS,87,pos/kws_87.wav,hi colmo,pos/cmd_87.wav,座椅感化那个屏
POS,88,pos/kws_88.wav,你好科慕,pos/cmd_88.wav,会议模式
POS,89,pos/kws_89.wav,你好科慕,pos/cmd_89.wav,窗帘的叶片帮我调整到一百八十度
POS,90,pos/kws_90.wav,hi colmo,pos/cmd_90.wav,我有点热
POS,91,pos/kws_91.wav,hi colmo,pos/cmd_91.wav,开启窗帘
POS,92,pos/kws_92.wav,hi colmo,pos/cmd_92.wav,我有点冷
POS,93,pos/kws_93.wav,hi colmo,pos/cmd_93.wav,约下午四点洗衣服
POS,94,pos/kws_94.wav,hi colmo,pos/cmd_94.wav,进入我要吃饭了场景设置
POS,95,pos/kws_95.wav,hi colmo,pos/cmd_95.wav,开启一键净呼吸
POS,96,pos/kws_96.wav,hi colmo,pos/cmd_96.wav,打开洗衣机
POS,97,pos/kws_97.wav,你好科慕,pos/cmd_97.wav,把前厅灯光调到亮度百分之百
POS,98,pos/kws_98.wav,你好科慕,pos/cmd_98.wav,全智能
POS,99,pos/kws_99.wav,hi colmo,pos/cmd_99.wav,打开干衣机门
POS,100,pos/kws_100.wav,hi colmo,pos/cmd_100.wav,拉杆洗烘套装
POS,101,pos/kws_101.wav,hi colmo,pos/cmd_101.wav,闭所有灯光
POS,102,pos/kws_102.wav,你好科慕,pos/cmd_102.wav,关闭图灵厨房的灯
POS,103,pos/kws_103.wav,hi colmo,pos/cmd_103.wav,灯光常亮冷色调
POS,104,pos/kws_104.wav,hi colmo,pos/cmd_104.wav,那窗帘要关吗这些
POS,105,pos/kws_105.wav,你好科慕,pos/cmd_105.wav,墅智专家墅智专家的灯
POS,106,pos/kws_106.wav,hi colmo,pos/cmd_106.wav,关闭洗衣机
POS,107,pos/kws_107.wav,hi colmo,pos/cmd_107.wav,室内有点暗
POS,108,pos/kws_108.wav,hi colmo,pos/cmd_108.wav,因为我叫colmo就是唤醒它
POS,109,pos/kws_109.wav,hi colmo,pos/cmd_109.wav,干衣机开门
POS,110,pos/kws_110.wav,hi colmo,pos/cmd_110.wav,正常才有我一个人说话嘛它这个就很灵敏了就一直回答到你但是那个它就是会延迟
POS,111,pos/kws_111.wav,hi colmo,pos/cmd_111.wav,关闭星香空调
POS,112,pos/kws_112.wav,你好科慕,pos/cmd_112.wav,我要看电影咯
POS,113,pos/kws_113.wav,hi colmo,pos/cmd_113.wav,我要吃做饭了
POS,114,pos/kws_114.wav,hi colmo,pos/cmd_114.wav,调成冷色调常亮
POS,115,pos/kws_115.wav,hi colmo,pos/cmd_115.wav,打开烟机打开洗游衣
POS,116,pos/kws_116.wav,你好科慕,pos/cmd_116.wav,帮我播放周笔畅的贪
POS,117,pos/kws_117.wav,hi colmo,pos/cmd_117.wav,帮我打开冰箱门还有抽油烟机还有洗衣机筒还有新风
POS,118,pos/kws_118.wav,hi colmo,pos/cmd_118.wav,烟机自动开启灯光精准的聚焦在非餐区
POS,119,pos/kws_119.wav,你好科慕,pos/cmd_119.wav,打开客厅智能灯
POS,120,pos/kws_120.wav,你好科慕,pos/cmd_120.wav,干衣机怎么使用
POS,121,pos/kws_121.wav,hi colmo,pos/cmd_121.wav,空调调为二十六度
POS,122,pos/kws_122.wav,hi colmo,pos/cmd_122.wav,什么打开我们的座椅安装等等就可以实现
POS,123,pos/kws_123.wav,hi colmo,pos/cmd_123.wav,打开顶灯
POS,124,pos/kws_124.wav,hi colmo,pos/cmd_124.wav,空调调为最低风速
POS,125,pos/kws_125.wav,hi colmo,pos/cmd_125.wav,预约下午十四
POS,126,pos/kws_126.wav,hi colmo,pos/cmd_126.wav,客厅灯光亮度调到百分之十
POS,127,pos/kws_127.wav,hi colmo,pos/cmd_127.wav,我准备进厨房了
POS,128,pos/kws_128.wav,你好科慕,pos/cmd_128.wav,关闭窗帘客厅的灯调为暖色空调二十四度最低风速
POS,129,pos/kws_129.wav,你好科慕,pos/cmd_129.wav,空调是什么模式现在
POS,130,pos/kws_130.wav,hi colmo,pos/cmd_130.wav,洗衣模式
POS,131,pos/kws_131.wav,hi colmo,pos/cmd_131.wav,打开洗护一体机的门
POS,132,pos/kws_132.wav,hi colmo,pos/cmd_132.wav,灯光调亮冷色调
POS,133,pos/kws_133.wav,你好科慕,pos/cmd_133.wav,窗帘调整角度到七十度
POS,134,pos/kws_134.wav,hi colmo,pos/cmd_134.wav,我要做饭了小布吗
POS,135,pos/kws_135.wav,你好科慕,pos/cmd_135.wav,灯的色温调到最暖
POS,136,pos/kws_136.wav,hi colmo,pos/cmd_136.wav,开启烹饪模式
POS,137,pos/kws_137.wav,你好科慕,pos/cmd_137.wav,打开空调打开窗帘关闭灯
POS,138,pos/kws_138.wav,你好科慕,pos/cmd_138.wav,关闭电视
POS,139,pos/kws_139.wav,你好科慕,pos/cmd_139.wav,帮我策划四天去韩国首尔的旅游
POS,140,pos/kws_140.wav,hi colmo,pos/cmd_140.wav,打开冰箱
POS,141,pos/kws_141.wav,hi colmo,pos/cmd_141.wav,关闭新建空调
POS,142,pos/kws_142.wav,hi colmo,pos/cmd_142.wav,窗帘下架
POS,143,pos/kws_143.wav,hi colmo,pos/cmd_143.wav,关闭洗衣模式关闭新风模式
POS,144,pos/kws_144.wav,hi colmo,pos/cmd_144.wav,退下吧
POS,145,pos/kws_145.wav,hi colmo,pos/cmd_145.wav,灯光亮度调百分之八十
POS,146,pos/kws_146.wav,hi colmo,pos/cmd_146.wav,打开观影模式
POS,147,pos/kws_147.wav,hi colmo,pos/cmd_147.wav,灯光调到百分之八十
POS,148,pos/kws_148.wav,hi colmo,pos/cmd_148.wav,关闭抽油烟机
POS,149,pos/kws_149.wav,hi colmo,pos/cmd_149.wav,灯的亮度调到五千
POS,150,pos/kws_150.wav,hi colmo,pos/cmd_150.wav,打开灯
POS,151,pos/kws_151.wav,hi colmo,pos/cmd_151.wav,我要轻干洗
POS,152,pos/kws_152.wav,你好科慕,pos/cmd_152.wav,客厅的灯调到五千K
POS,153,pos/kws_153.wav,hi colmo,pos/cmd_153.wav,帮我放一首
POS,154,pos/kws_154.wav,hi colmo,pos/cmd_154.wav,智慧屏怎么先关机
POS,155,pos/kws_155.wav,你好科慕,pos/cmd_155.wav,我要出去了
POS,156,pos/kws_156.wav,hi colmo,pos/cmd_156.wav,我吃完了
POS,157,pos/kws_157.wav,hi colmo,pos/cmd_157.wav,打开油烟机打开洗衣机桶打开新风
POS,158,pos/kws_158.wav,hi colmo,pos/cmd_158.wav,打开所有灯
POS,159,pos/kws_159.wav,hi colmo,pos/cmd_159.wav,帮我预约明天九点前衬衫的AI净干洗
POS,160,pos/kws_160.wav,你好科慕,pos/cmd_160.wav,我要看电影了
POS,161,pos/kws_161.wav,你好科慕,pos/cmd_161.wav,窗帘叶片角度调整到六十度
POS,162,pos/kws_162.wav,hi colmo,pos/cmd_162.wav,打开所有空调
POS,163,pos/kws_163.wav,你好科慕,pos/cmd_163.wav,呃把所有灯光打开
POS,164,pos/kws_164.wav,你好科慕,pos/cmd_164.wav,帮我策划三天深圳旅游的行程
POS,165,pos/kws_165.wav,hi colmo,pos/cmd_165.wav,我准备做饭啦
POS,166,pos/kws_166.wav,hi colmo,pos/cmd_166.wav,打开洗烘套装
POS,167,pos/kws_167.wav,hi colmo,pos/cmd_167.wav,打开客厅窗帘
POS,168,pos/kws_168.wav,hi colmo,pos/cmd_168.wav,灯的色温调到五千K
POS,169,pos/kws_169.wav,hi colmo,pos/cmd_169.wav,打开显示屏
POS,170,pos/kws_170.wav,hi colmo,pos/cmd_170.wav,一键净呼吸
POS,171,pos/kws_171.wav,你好科慕,pos/cmd_171.wav,Lady Gaga最新的专辑叫什么
POS,172,pos/kws_172.wav,hi colmo,pos/cmd_172.wav,开启连续对话
POS,173,pos/kws_173.wav,hi colmo,pos/cmd_173.wav,打开图灵洗碗机的门
POS,174,pos/kws_174.wav,hi colmo,pos/cmd_174.wav,灯光调到最亮
POS,175,pos/kws_175.wav,hi colmo,pos/cmd_175.wav,浪漫就餐
POS,176,pos/kws_176.wav,你好科慕,pos/cmd_176.wav,所有灯的色温调到五千K
POS,177,pos/kws_177.wav,hi colmo,pos/cmd_177.wav,打开所有智能灯
POS,178,pos/kws_178.wav,你好科慕,pos/cmd_178.wav,帮我预约明天九点之前
POS,179,pos/kws_179.wav,hi colmo,pos/cmd_179.wav,你说一句烹饪模式已打开
POS,180,pos/kws_180.wav,你好科慕,pos/cmd_180.wav,关闭空调打开窗帘
POS,181,pos/kws_181.wav,你好科慕,pos/cmd_181.wav,把窗帘打开
POS,182,pos/kws_182.wav,hi colmo,pos/cmd_182.wav,预约下午四点洗衣服
POS,183,pos/kws_183.wav,hi colmo,pos/cmd_183.wav,星降的灯调到五千K亮度百分百
POS,184,pos/kws_184.wav,你好科慕,pos/cmd_184.wav,关空调关灯
POS,185,pos/kws_185.wav,hi colmo,pos/cmd_185.wav,我吃饱了
POS,186,pos/kws_186.wav,hi colmo,pos/cmd_186.wav,恢复正常场景
POS,187,pos/kws_187.wav,hi colmo,pos/cmd_187.wav,这个是什么颜色的
POS,188,pos/kws_188.wav,你好科慕,pos/cmd_188.wav,灯的亮度百分百
POS,189,pos/kws_189.wav,你好科慕,pos/cmd_189.wav,厨房灯光烟机
POS,190,pos/kws_190.wav,hi colmo,pos/cmd_190.wav,我要吃饭咯
POS,191,pos/kws_191.wav,hi colmo,pos/cmd_191.wav,室内太暗了
POS,192,pos/kws_192.wav,hi colmo,pos/cmd_192.wav,打开上班模式
POS,193,pos/kws_193.wav,你好科慕,pos/cmd_193.wav,帮我放一首周笔畅的歌
POS,194,pos/kws_194.wav,hi colmo,pos/cmd_194.wav,开启一键净化
POS,195,pos/kws_195.wav,hi colmo,pos/cmd_195.wav,我要洗碗
POS,196,pos/kws_196.wav,hi colmo,pos/cmd_196.wav,打开厨房空调
POS,197,pos/kws_197.wav,hi colmo,pos/cmd_197.wav,明亮模式
POS,198,pos/kws_198.wav,hi colmo,pos/cmd_198.wav,你这个智慧屏怎么关机
POS,199,pos/kws_199.wav,hi colmo,pos/cmd_199.wav,开冰箱门
POS,200,pos/kws_200.wav,hi colmo,pos/cmd_200.wav,空调全部开启扫风
POS,201,pos/kws_201.wav,你好科慕,pos/cmd_201.wav,数字专家射灯亮度调到二
POS,202,pos/kws_202.wav,hi colmo,pos/cmd_202.wav,我马上到家了
POS,203,pos/kws_203.wav,你好科慕,pos/cmd_203.wav,关闭音乐客厅的灯
POS,204,pos/kws_204.wav,你好科慕,pos/cmd_204.wav,声音小一点
POS,205,pos/kws_205.wav,hi colmo,pos/cmd_205.wav,关窗帘
POS,206,pos/kws_206.wav,hi colmo,pos/cmd_206.wav,预约下午洗四点洗衣服
POS,207,pos/kws_207.wav,你好科慕,pos/cmd_207.wav,深圳有什么好吃的
POS,208,pos/kws_208.wav,hi colmo,pos/cmd_208.wav,灯的亮度调整到五千K
POS,209,pos/kws_209.wav,hi colmo,pos/cmd_209.wav,灯光最亮冷色调
POS,210,pos/kws_210.wav,hi colmo,pos/cmd_210.wav,正好是什么我从这里跳向进来我就先不要这个我先灯光亮起
POS,211,pos/kws_211.wav,hi colmo,pos/cmd_211.wav,开启洗碗机
POS,212,pos/kws_212.wav,hi colmo,pos/cmd_212.wav,关闭微蒸烤箱
POS,213,pos/kws_213.wav,hi colmo,pos/cmd_213.wav,灯光调为蓝色
POS,214,pos/kws_214.wav,你好科慕,pos/cmd_214.wav,呃这个就是全屋智能像我们要开空调啊或者是我们要做饭啊这些都是嗯这里了听到我们说话
POS,215,pos/kws_215.wav,hi colmo,pos/cmd_215.wav,关闭厨房灯光
POS,216,pos/kws_216.wav,hi colmo,pos/cmd_216.wav,打开饮水机
POS,217,pos/kws_217.wav,hi colmo,pos/cmd_217.wav,所有灯亮度调到最高
POS,218,pos/kws_218.wav,你好科慕,pos/cmd_218.wav,放一首歌
POS,219,pos/kws_219.wav,hi colmo,pos/cmd_219.wav,烟机升起
POS,220,pos/kws_220.wav,hi colmo,pos/cmd_220.wav,打开智能灯
POS,221,pos/kws_221.wav,hi colmo,pos/cmd_221.wav,洗衣机双桶打开通风
POS,222,pos/kws_222.wav,你好科慕,pos/cmd_222.wav,打开客厅空调客厅的灯调到
POS,223,pos/kws_223.wav,hi colmo,pos/cmd_223.wav,关闭所有灯
POS,224,pos/kws_224.wav,hi colmo,pos/cmd_224.wav,我的羊绒大衣要用什么清洗模式
POS,225,pos/kws_225.wav,你好科慕,pos/cmd_225.wav,开灯客厅灯的色温调到一千八百K
POS,226,pos/kws_226.wav,hi colmo,pos/cmd_226.wav,然后那个窗帘邦邦邦邦邦的给关了对然后那个灯光暗了就是
POS,227,pos/kws_227.wav,你好科慕,pos/cmd_227.wav,窗帘半开
POS,228,pos/kws_228.wav,hi colmo,pos/cmd_228.wav,做我烹饪先吃啊打开烹饪模式
POS,229,pos/kws_229.wav,你好科慕,pos/cmd_229.wav,音乐声音调小一点
POS,230,pos/kws_230.wav,hi colmo,pos/cmd_230.wav,给我定个闹钟内容是设计一个艺术空间
POS,231,pos/kws_231.wav,你好科慕,pos/cmd_231.wav,帮我打开客厅的智能灯
POS,232,pos/kws_232.wav,hi colmo,pos/cmd_232.wav,我吃完饭了
POS,233,pos/kws_233.wav,hi colmo,pos/cmd_233.wav,我要开始做饭了
POS,234,pos/kws_234.wav,hi colmo,pos/cmd_234.wav,把空调温度调到二十八度风量调到百分之五十
POS,235,pos/kws_235.wav,你好科慕,pos/cmd_235.wav,客厅灯的色温调到五千K灯的色温调到五千K
POS,236,pos/kws_236.wav,hi colmo,pos/cmd_236.wav,烟机降下
POS,237,pos/kws_237.wav,hi colmo,pos/cmd_237.wav,打开清香烟机
POS,238,pos/kws_238.wav,hi colmo,pos/cmd_238.wav,空调打开到二十五摄氏度
POS,239,pos/kws_239.wav,hi colmo,pos/cmd_239.wav,净呼吸模式
POS,240,pos/kws_240.wav,hi colmo,pos/cmd_240.wav,没事退下
POS,241,pos/kws_241.wav,hi colmo,pos/cmd_241.wav,灯的色温五千K
POS,242,pos/kws_242.wav,hi colmo,pos/cmd_242.wav,遮上窗帘
POS,243,pos/kws_243.wav,hi colmo,pos/cmd_243.wav,烹饪模式
POS,244,pos/kws_244.wav,hi colmo,pos/cmd_244.wav,没事退下吧
POS,245,pos/kws_245.wav,hi colmo,pos/cmd_245.wav,帮我打开洗碗机
POS,246,pos/kws_246.wav,hi colmo,pos/cmd_246.wav,现在关闭油烟机
POS,247,pos/kws_247.wav,你好科慕,pos/cmd_247.wav,灯的色温
POS,248,pos/kws_248.wav,hi colmo,pos/cmd_248.wav,打开洗碗机门
POS,249,pos/kws_249.wav,你好科慕,pos/cmd_249.wav,开启前厅所有灯光
POS,250,pos/kws_250.wav,hi colmo,pos/cmd_250.wav,帮我打开冰箱门打开
POS,251,pos/kws_251.wav,hi colmo,pos/cmd_251.wav,拉开所有卷帘
POS,252,pos/kws_252.wav,hi colmo,pos/cmd_252.wav,打开洗衣模式
POS,253,pos/kws_253.wav,hi colmo,pos/cmd_253.wav,空调调到二十六度
POS,254,pos/kws_254.wav,你好科慕,pos/cmd_254.wav,什么是AI轻干洗
POS,255,pos/kws_255.wav,你好科慕,pos/cmd_255.wav,对都没问题的
POS,256,pos/kws_256.wav,你好科慕,pos/cmd_256.wav,打开客厅的灯
POS,257,pos/kws_257.wav,你好科慕,pos/cmd_257.wav,打开所有的灯光
POS,258,pos/kws_258.wav,hi colmo,pos/cmd_258.wav,灯光色调最冷
POS,259,pos/kws_259.wav,你好科慕,pos/cmd_259.wav,微蒸烤箱取消预热
POS,260,pos/kws_260.wav,你好科慕,pos/cmd_260.wav,把展台的灯光亮度调到百分之十
POS,261,pos/kws_261.wav,hi colmo,pos/cmd_261.wav,吃饭了
POS,262,pos/kws_262.wav,你好科慕,pos/cmd_262.wav,关闭客厅柜式空调
POS,263,pos/kws_263.wav,hi colmo,pos/cmd_263.wav,还有一开机会打
POS,264,pos/kws_264.wav,hi colmo,pos/cmd_264.wav,所有灯的亮度降到五十
POS,265,pos/kws_265.wav,hi colmo,pos/cmd_265.wav,关闭所有窗帘
POS,266,pos/kws_266.wav,hi colmo,pos/cmd_266.wav,关闭备餐模式
POS,267,pos/kws_267.wav,你好科慕,pos/cmd_267.wav,关闭空调客厅灯的色温调到最冷打开厨房的灯
POS,268,pos/kws_268.wav,hi colmo,pos/cmd_268.wav,油烟机升起
POS,269,pos/kws_269.wav,hi colmo,pos/cmd_269.wav,打打开油烟机
POS,270,pos/kws_270.wav,你好科慕,pos/cmd_270.wav,帮我放郭顶的水星记
POS,271,pos/kws_271.wav,你好科慕,pos/cmd_271.wav,HI COLMO
POS,272,pos/kws_272.wav,你好科慕,pos/cmd_272.wav,开灯开空调
POS,273,pos/kws_273.wav,hi colmo,pos/cmd_273.wav,帮我预约明天九点之前衬衫的AI轻干洗
POS,274,pos/kws_274.wav,你好科慕,pos/cmd_274.wav,灯的色温调冷一点
POS,275,pos/kws_275.wav,你好科慕,pos/cmd_275.wav,关闭空调关闭灯
POS,276,pos/kws_276.wav,hi colmo,pos/cmd_276.wav,关闭回家模式
POS,277,pos/kws_277.wav,hi colmo,pos/cmd_277.wav,羊毛衫怎么洗
POS,278,pos/kws_278.wav,hi colmo,pos/cmd_278.wav,把空调开机调到制热模式
POS,279,pos/kws_279.wav,hi colmo,pos/cmd_279.wav,调亮一点
POS,280,pos/kws_280.wav,hi colmo,pos/cmd_280.wav,拉开窗帘
POS,281,pos/kws_281.wav,你好科慕,pos/cmd_281.wav,帮我关闭音乐
POS,282,pos/kws_282.wav,hi colmo,pos/cmd_282.wav,灯光调到百分之三十
POS,283,pos/kws_283.wav,hi colmo,pos/cmd_283.wav,空调开到二十摄氏度
POS,284,pos/kws_284.wav,hi colmo,pos/cmd_284.wav,关闭冰箱门
POS,285,pos/kws_285.wav,hi colmo,pos/cmd_285.wav,我要开始烹饪
POS,286,pos/kws_286.wav,hi colmo,pos/cmd_286.wav,预约下午四点
POS,287,pos/kws_287.wav,hi colmo,pos/cmd_287.wav,关闭全屋空调
POS,288,pos/kws_288.wav,hi colmo,pos/cmd_288.wav,放了一年的羊绒大衣应该用什么清洗模式
POS,289,pos/kws_289.wav,hi colmo,pos/cmd_289.wav,打开新风模式
POS,290,pos/kws_290.wav,你好科慕,pos/cmd_290.wav,关闭前厅所有灯光
POS,291,pos/kws_291.wav,你好科慕,pos/cmd_291.wav,关闭所有中央空调
POS,292,pos/kws_292.wav,hi colmo,pos/cmd_292.wav,帮我做一个倒计时
POS,293,pos/kws_293.wav,hi colmo,pos/cmd_293.wav,关掉空调
POS,294,pos/kws_294.wav,hi colmo,pos/cmd_294.wav,好的歌
POS,295,pos/kws_295.wav,hi colmo,pos/cmd_295.wav,灯光明亮冷色调
POS,296,pos/kws_296.wav,hi colmo,pos/cmd_296.wav,洗衣机通风
POS,297,pos/kws_297.wav,hi colmo,pos/cmd_297.wav,开启两个空调
POS,298,pos/kws_298.wav,hi colmo,pos/cmd_298.wav,我要洗衣服咯
POS,299,pos/kws_299.wav,hi colmo,pos/cmd_299.wav,爆炒模式
POS,300,pos/kws_300.wav,hi colmo,pos/cmd_300.wav,打开洗碗机的门
POS,301,pos/kws_301.wav,hi colmo,pos/cmd_301.wav,帮我预约明天九点之前对我的衬衫进行轻干洗
POS,302,pos/kws_302.wav,hi colmo,pos/cmd_302.wav,你好COLMO
POS,303,pos/kws_303.wav,hi colmo,pos/cmd_303.wav,我要休息咯
POS,304,pos/kws_304.wav,hi colmo,pos/cmd_304.wav,客厅灯的色温调到最冷
POS,305,pos/kws_305.wav,hi colmo,pos/cmd_305.wav,呃我要洗衣服
POS,306,pos/kws_306.wav,hi colmo,pos/cmd_306.wav,所有灯电量降到五十
POS,307,pos/kws_307.wav,hi colmo,pos/cmd_307.wav,帮我打开衬衫的AI轻干洗
